,platform,launch_month,ad_category_id,dev_cost,marketing_cost,users_reached,downloads_or_accesses,avg_bounce_rate,cumulative_feedback_from_customers,city_id
1890,E-paper Mobile Web,2021-07,A002,152851,70611,39512,7353,79.65,"The site takes too long to load on average phones.
People didn’t wait around.",C049
1891,E-paper Mobile Web,2021-08,A002,141430,76208,8783,10485,59.2,nan,C049
1892,E-paper Mobile Web,2021-09,A004,150454,83252,18275,14667,61.79,nan,C049
1893,E-paper Mobile Web,2021-10,A002,189787,85148,38442,18658,81.54,"The site takes too long to load on average phones.
People didn’t wait around.",C049
1894,E-paper Mobile Web,2021-11,A004,174886,92322,8822,12652,51.69,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C049
1895,E-paper Mobile Web,2021-12,A002,257675,69350,28884,9055,57.58,nan,C049
1896,Mobile App Beta,2021-01,A004,253522,102339,15830,24608,36.61,nan,C049
1897,Mobile App Beta,2021-02,A002,228942,72500,26004,18668,54.72,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C049
1898,Mobile App Beta,2021-03,A003,143546,100349,26476,10585,31.77,"The site takes too long to load on average phones.
People didn’t wait around.",C049
1899,Mobile App Beta,2021-04,A003,221893,61941,28151,18615,57.85,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C049
1900,Mobile App Beta,2021-05,A002,202252,102444,23465,13840,53.27,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C049
1901,Mobile App Beta,2021-06,A004,163632,98801,31011,12796,40.92,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C049
1902,Mobile App Beta,2021-07,A003,139802,92228,371,29834,66.37,nan,C049
1903,Mobile App Beta,2021-08,A004,169038,42534,20340,13123,61.76,nan,C049
1904,Mobile App Beta,2021-09,A003,165251,73551,20608,7396,41.54,nan,C049
1905,Mobile App Beta,2021-10,A003,172113,40700,20965,17744,97.41,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C049
1906,Mobile App Beta,2021-11,A004,222219,49332,22600,17042,40.05,"The site takes too long to load on average phones.
People didn’t wait around.",C049
1907,Mobile App Beta,2021-12,A002,154518,50482,36608,11657,40.56,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C049
1908,Responsive Web Version,2021-01,A002,261310,91277,6997,30678,78.97,"The site takes too long to load on average phones.
People didn’t wait around.",C049
1909,Responsive Web Version,2021-02,A001,186529,50527,37015,14194,21.39,"The site takes too long to load on average phones.
People didn’t wait around.",C049
1910,Responsive Web Version,2021-03,A003,174003,81806,28382,18488,87.78,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C049
1911,Responsive Web Version,2021-04,A002,244330,83426,40776,20522,88.41,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C049
1912,Responsive Web Version,2021-05,A001,173140,51816,32774,10229,51.15,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C049
1913,Responsive Web Version,2021-06,A004,163858,70724,14739,22400,60.08,nan,C049
1914,Responsive Web Version,2021-07,A003,189237,52508,32488,15559,60.5,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C049
1915,Responsive Web Version,2021-08,A001,144686,59913,27736,19929,57.3,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C049
1916,Responsive Web Version,2021-09,A001,156772,83066,24112,14620,73.2,nan,C049
1917,Responsive Web Version,2021-10,A001,194095,59918,23913,16158,44.96,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C049
1918,Responsive Web Version,2021-11,A001,184567,109212,26608,7779,55.43,nan,C049
1919,Responsive Web Version,2021-12,A001,197098,57226,9549,6582,34.42,nan,C049
1920,PDF WhatsApp Push,2021-01,A001,216433,88385,13825,23287,61.77,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C050
1921,PDF WhatsApp Push,2021-02,A002,162998,61533,22946,17517,87.41,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1922,PDF WhatsApp Push,2021-03,A002,238044,93744,30144,15755,38.57,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1923,PDF WhatsApp Push,2021-04,A002,181620,55152,8483,7719,66.24,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1924,PDF WhatsApp Push,2021-05,A003,174024,59828,25546,16185,54.76,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1925,PDF WhatsApp Push,2021-06,A004,174482,56087,12048,19281,75.97,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1926,PDF WhatsApp Push,2021-07,A002,145747,85946,33360,18415,52.29,nan,C050
1927,PDF WhatsApp Push,2021-08,A003,188194,49302,24552,6080,85.56,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1928,PDF WhatsApp Push,2021-09,A004,160733,73014,41565,15885,39.44,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1929,PDF WhatsApp Push,2021-10,A003,258342,96235,27965,20126,61.16,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C050
1930,PDF WhatsApp Push,2021-11,A001,207931,51095,34766,24748,64.54,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1931,PDF WhatsApp Push,2021-12,A001,206523,94009,33293,14540,47.82,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1932,E-paper Mobile Web,2021-01,A002,198136,73304,12778,11272,45.36,nan,C050
1933,E-paper Mobile Web,2021-02,A003,110531,81931,39824,20191,63.29,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1934,E-paper Mobile Web,2021-03,A002,152144,80702,31901,20936,52.66,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1935,E-paper Mobile Web,2021-04,A001,132142,100488,19050,2967,61.26,nan,C050
1936,E-paper Mobile Web,2021-05,A002,145904,43364,28579,14201,72.95,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C050
1937,E-paper Mobile Web,2021-06,A003,216776,41684,13635,8925,59.06,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1938,E-paper Mobile Web,2021-07,A004,225129,32844,40032,19370,60.6,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1939,E-paper Mobile Web,2021-08,A003,334365,48831,29516,19636,72.93,nan,C050
1940,E-paper Mobile Web,2021-09,A004,262223,88058,20958,16140,60.46,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1941,E-paper Mobile Web,2021-10,A001,143472,75471,24574,16449,62.38,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1942,E-paper Mobile Web,2021-11,A004,184975,107669,24086,13276,59.41,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C050
1943,E-paper Mobile Web,2021-12,A002,144824,102705,16972,19204,75.15,nan,C050
1944,Mobile App Beta,2021-01,A002,200801,86843,24191,16910,69.21,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1945,Mobile App Beta,2021-02,A003,181268,64111,27127,10368,62.26,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1946,Mobile App Beta,2021-03,A003,199686,64612,30544,9344,73.45,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1947,Mobile App Beta,2021-04,A003,243115,90317,17163,19019,86.06,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C050
1948,Mobile App Beta,2021-05,A004,142310,105843,30450,12994,54.11,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1949,Mobile App Beta,2021-06,A004,264689,87052,9991,10902,61.62,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1950,Mobile App Beta,2021-07,A002,208253,66382,26293,9748,55.47,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1951,Mobile App Beta,2021-08,A001,293785,64144,30448,19452,100.25,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1952,Mobile App Beta,2021-09,A003,149341,101175,27003,16058,44.54,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1953,Mobile App Beta,2021-10,A003,217129,82742,21200,19522,82.57,nan,C050
1954,Mobile App Beta,2021-11,A002,240115,71553,13651,18831,47.28,nan,C050
1955,Mobile App Beta,2021-12,A003,134421,81314,30469,17044,87.59,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C050
1956,Responsive Web Version,2021-01,A004,207330,66522,29828,17433,44.26,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C050
1957,Responsive Web Version,2021-02,A001,169695,70353,22559,12770,71.9,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1958,Responsive Web Version,2021-03,A002,247291,44299,22550,9422,62.55,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1959,Responsive Web Version,2021-04,A004,185481,87580,25633,11429,76.57,nan,C050
1960,Responsive Web Version,2021-05,A001,162646,81795,30881,19283,55.05,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1961,Responsive Web Version,2021-06,A002,231362,119444,22679,21232,45.89,nan,C050
1962,Responsive Web Version,2021-07,A001,206040,38721,21210,19335,89.29,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1963,Responsive Web Version,2021-08,A002,138943,90290,16603,23254,43.38,"The site takes too long to load on average phones.
People didn’t wait around.",C050
1964,Responsive Web Version,2021-09,A001,220042,110738,40453,11755,58.29,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1965,Responsive Web Version,2021-10,A001,228966,102454,30207,2090,43.99,nan,C050
1966,Responsive Web Version,2021-11,A002,198561,45449,49360,10404,35.56,nan,C050
1967,Responsive Web Version,2021-12,A003,227664,80581,33597,17272,34.57,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C050
1968,PDF WhatsApp Push,2021-01,A001,210869,41844,14524,18361,69.02,"The site takes too long to load on average phones.
People didn’t wait around.",C051
1969,PDF WhatsApp Push,2021-02,A003,212147,55482,35014,15424,69.68,nan,C051
1970,PDF WhatsApp Push,2021-03,A004,141996,73731,18534,19856,105.62,nan,C051
1971,PDF WhatsApp Push,2021-04,A003,213462,66633,27622,25218,30.7,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
1972,PDF WhatsApp Push,2021-05,A003,116646,42492,27879,16804,75.35,"The site takes too long to load on average phones.
People didn’t wait around.",C051
1973,PDF WhatsApp Push,2021-06,A003,179147,63455,14016,17838,65.27,nan,C051
1974,PDF WhatsApp Push,2021-07,A001,322533,48783,35305,13901,79.26,nan,C051
1975,PDF WhatsApp Push,2021-08,A002,263944,69962,35498,3871,54.94,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1976,PDF WhatsApp Push,2021-09,A001,237648,79190,15938,18676,50.7,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1977,PDF WhatsApp Push,2021-10,A002,142729,75015,36358,19974,37.6,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1978,PDF WhatsApp Push,2021-11,A001,177486,68802,16142,16434,73.53,"The site takes too long to load on average phones.
People didn’t wait around.",C051
1979,PDF WhatsApp Push,2021-12,A001,215344,76457,17938,19074,68.14,nan,C051
1980,E-paper Mobile Web,2021-01,A001,229744,69145,15140,9150,55.03,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
1981,E-paper Mobile Web,2021-02,A002,267082,60646,24307,28965,78.62,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
1982,E-paper Mobile Web,2021-03,A001,174425,49354,21210,13442,81.0,nan,C051
1983,E-paper Mobile Web,2021-04,A003,166153,54891,36614,8356,62.42,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
1984,E-paper Mobile Web,2021-05,A003,198721,70739,24687,17898,63.42,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
1985,E-paper Mobile Web,2021-06,A001,245735,98896,17825,16458,69.5,"The site takes too long to load on average phones.
People didn’t wait around.",C051
1986,E-paper Mobile Web,2021-07,A003,217153,50261,25259,12664,76.72,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1987,E-paper Mobile Web,2021-08,A001,266197,85842,24898,15905,40.18,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1988,E-paper Mobile Web,2021-09,A002,177004,73684,21209,22125,70.12,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1989,E-paper Mobile Web,2021-10,A004,201735,70942,19150,6316,94.98,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1990,E-paper Mobile Web,2021-11,A003,148844,104240,31769,15732,38.84,nan,C051
1991,E-paper Mobile Web,2021-12,A002,147410,47799,15528,18028,84.14,nan,C051
1992,Mobile App Beta,2021-01,A004,234687,76540,26573,20394,64.88,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1993,Mobile App Beta,2021-02,A004,196651,79103,20264,11017,63.95,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1994,Mobile App Beta,2021-03,A002,294879,66973,20234,6962,73.79,nan,C051
1995,Mobile App Beta,2021-04,A004,205299,45389,13213,12789,61.77,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
1996,Mobile App Beta,2021-05,A004,144880,92093,27035,15161,82.81,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
1997,Mobile App Beta,2021-06,A003,243443,45540,55840,14982,91.2,nan,C051
1998,Mobile App Beta,2021-07,A002,239040,45372,15879,14430,53.09,"The site takes too long to load on average phones.
People didn’t wait around.",C051
1999,Mobile App Beta,2021-08,A004,219940,65351,19235,6227,66.62,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
2000,Mobile App Beta,2021-09,A004,175109,62967,22076,22039,52.99,nan,C051
2001,Mobile App Beta,2021-10,A003,179510,88624,32346,16987,66.17,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
2002,Mobile App Beta,2021-11,A004,256370,28128,42567,17785,75.67,nan,C051
2003,Mobile App Beta,2021-12,A004,147386,70935,41599,14183,49.15,"The site takes too long to load on average phones.
People didn’t wait around.",C051
2004,Responsive Web Version,2021-01,A004,210720,74558,20804,18455,57.74,"The site takes too long to load on average phones.
People didn’t wait around.",C051
2005,Responsive Web Version,2021-02,A004,176962,49060,13037,21450,69.84,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
2006,Responsive Web Version,2021-03,A004,239134,80493,23581,4724,52.55,nan,C051
2007,Responsive Web Version,2021-04,A001,222351,88377,21646,19624,76.93,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
2008,Responsive Web Version,2021-05,A003,214864,68301,18101,14770,58.65,"The site takes too long to load on average phones.
People didn’t wait around.",C051
2009,Responsive Web Version,2021-06,A004,179789,65896,18696,15238,50.58,nan,C051
2010,Responsive Web Version,2021-07,A002,241020,95627,32707,13254,50.53,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
2011,Responsive Web Version,2021-08,A002,212979,68279,33600,19528,65.92,nan,C051
2012,Responsive Web Version,2021-09,A001,157314,43847,11857,8945,82.77,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C051
2013,Responsive Web Version,2021-10,A001,196361,92393,28926,20646,67.58,"The site takes too long to load on average phones.
People didn’t wait around.",C051
2014,Responsive Web Version,2021-11,A001,177333,55376,31341,11781,71.83,nan,C051
2015,Responsive Web Version,2021-12,A001,106815,106104,16218,10627,83.73,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C051
2016,PDF WhatsApp Push,2021-01,A004,161239,119216,35290,20123,67.76,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2017,PDF WhatsApp Push,2021-02,A001,180308,92452,15863,8126,61.21,nan,C052
2018,PDF WhatsApp Push,2021-03,A003,228662,68164,28093,5139,53.67,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2019,PDF WhatsApp Push,2021-04,A002,258282,86474,7666,3047,75.59,nan,C052
2020,PDF WhatsApp Push,2021-05,A003,251959,72203,-584,18790,75.06,nan,C052
2021,PDF WhatsApp Push,2021-06,A002,113265,56072,25196,14843,78.7,nan,C052
2022,PDF WhatsApp Push,2021-07,A004,230295,76787,20899,17028,54.62,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2023,PDF WhatsApp Push,2021-08,A001,148699,70243,27051,15458,74.71,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2024,PDF WhatsApp Push,2021-09,A004,208952,83111,19187,9259,61.13,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2025,PDF WhatsApp Push,2021-10,A002,194403,78442,32472,16602,47.01,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2026,PDF WhatsApp Push,2021-11,A004,188707,88612,16005,17677,54.23,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2027,PDF WhatsApp Push,2021-12,A001,270653,73756,20792,19357,47.45,nan,C052
2028,E-paper Mobile Web,2021-01,A002,287391,67669,20543,15183,50.09,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2029,E-paper Mobile Web,2021-02,A004,226492,81653,19423,18108,49.72,nan,C052
2030,E-paper Mobile Web,2021-03,A003,220884,74803,38800,7898,53.89,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2031,E-paper Mobile Web,2021-04,A003,265641,79649,37520,16020,68.2,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2032,E-paper Mobile Web,2021-05,A004,213950,66979,15967,16359,68.23,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2033,E-paper Mobile Web,2021-06,A002,213286,112637,39477,23679,57.68,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2034,E-paper Mobile Web,2021-07,A001,165894,68536,26370,18666,46.29,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2035,E-paper Mobile Web,2021-08,A002,132192,62131,28332,7337,65.84,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2036,E-paper Mobile Web,2021-09,A004,172509,97715,22426,9113,76.56,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2037,E-paper Mobile Web,2021-10,A003,138543,66787,27074,23132,64.69,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2038,E-paper Mobile Web,2021-11,A004,267246,114842,14034,13397,73.45,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2039,E-paper Mobile Web,2021-12,A001,257897,34851,13263,14445,52.79,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2040,Mobile App Beta,2021-01,A001,167609,39436,38239,9528,78.51,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2041,Mobile App Beta,2021-02,A002,228567,79764,24479,20962,71.99,nan,C052
2042,Mobile App Beta,2021-03,A004,271087,36349,33907,13113,68.32,nan,C052
2043,Mobile App Beta,2021-04,A004,202672,72497,29248,18625,38.09,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2044,Mobile App Beta,2021-05,A004,333101,57842,33062,8589,31.78,nan,C052
2045,Mobile App Beta,2021-06,A002,196277,53098,37641,5801,71.55,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2046,Mobile App Beta,2021-07,A001,149354,51353,37237,23901,54.53,nan,C052
2047,Mobile App Beta,2021-08,A002,165920,112152,12840,21023,82.54,nan,C052
2048,Mobile App Beta,2021-09,A003,260046,112866,8831,15924,41.27,nan,C052
2049,Mobile App Beta,2021-10,A002,209800,60997,34363,14991,51.59,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2050,Mobile App Beta,2021-11,A001,143146,94539,23441,9039,65.82,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2051,Mobile App Beta,2021-12,A003,264209,70227,19163,21771,42.65,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2052,Responsive Web Version,2021-01,A004,237169,72982,23465,23300,39.62,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2053,Responsive Web Version,2021-02,A003,327935,89301,19230,11988,75.03,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2054,Responsive Web Version,2021-03,A003,333876,34181,4622,21688,55.63,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2055,Responsive Web Version,2021-04,A003,279259,59997,19013,19497,70.03,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2056,Responsive Web Version,2021-05,A002,230199,82834,24742,15239,56.63,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2057,Responsive Web Version,2021-06,A001,236068,76649,23639,8452,66.49,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2058,Responsive Web Version,2021-07,A003,175614,78101,34213,17424,62.95,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2059,Responsive Web Version,2021-08,A001,211815,87524,26489,27986,56.25,nan,C052
2060,Responsive Web Version,2021-09,A002,156568,48976,13606,19763,60.1,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2061,Responsive Web Version,2021-10,A001,170606,73819,8228,14122,66.67,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C052
2062,Responsive Web Version,2021-11,A002,245247,54615,27648,14008,82.9,"The site takes too long to load on average phones.
People didn’t wait around.",C052
2063,Responsive Web Version,2021-12,A002,220149,90559,27867,19832,54.53,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C052
2064,PDF WhatsApp Push,2021-01,A003,244336,106652,11575,19646,46.25,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2065,PDF WhatsApp Push,2021-02,A002,202764,112689,31385,14424,47.62,nan,C053
2066,PDF WhatsApp Push,2021-03,A003,239980,77002,36123,17796,55.87,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2067,PDF WhatsApp Push,2021-04,A003,228253,89894,22438,18684,87.21,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2068,PDF WhatsApp Push,2021-05,A002,107350,81690,36651,16644,71.34,"The site takes too long to load on average phones.
People didn’t wait around.",C053
2069,PDF WhatsApp Push,2021-06,A002,186201,31445,18059,11254,95.77,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2070,PDF WhatsApp Push,2021-07,A003,237496,55535,22264,10993,62.7,"The site takes too long to load on average phones.
People didn’t wait around.",C053
2071,PDF WhatsApp Push,2021-08,A001,183380,83794,39999,18776,63.22,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2072,PDF WhatsApp Push,2021-09,A001,155847,54338,25730,16706,37.41,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2073,PDF WhatsApp Push,2021-10,A001,241636,103556,38731,8922,86.98,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2074,PDF WhatsApp Push,2021-11,A004,197259,69969,2133,12669,57.33,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2075,PDF WhatsApp Push,2021-12,A002,210811,106874,18962,9298,61.14,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2076,E-paper Mobile Web,2021-01,A002,226707,71075,32391,17781,71.44,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2077,E-paper Mobile Web,2021-02,A004,215890,64323,32066,11770,62.17,"The site takes too long to load on average phones.
People didn’t wait around.",C053
2078,E-paper Mobile Web,2021-03,A003,124618,87005,39436,20003,31.42,nan,C053
2079,E-paper Mobile Web,2021-04,A004,126941,68288,31406,13311,38.2,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2080,E-paper Mobile Web,2021-05,A002,209420,89138,32631,14569,69.25,"The site takes too long to load on average phones.
People didn’t wait around.",C053
2081,E-paper Mobile Web,2021-06,A003,232123,49824,9115,17646,59.87,nan,C053
2082,E-paper Mobile Web,2021-07,A004,165844,71034,32738,9333,57.95,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2083,E-paper Mobile Web,2021-08,A003,131179,64589,24732,8099,55.2,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2084,E-paper Mobile Web,2021-09,A003,228971,77560,34184,14114,63.91,nan,C053
2085,E-paper Mobile Web,2021-10,A002,256041,59201,18127,16939,83.77,nan,C053
2086,E-paper Mobile Web,2021-11,A001,188200,39940,24784,11842,78.16,nan,C053
2087,E-paper Mobile Web,2021-12,A003,181636,45360,20199,11556,65.25,"The site takes too long to load on average phones.
People didn’t wait around.",C053
2088,Mobile App Beta,2021-01,A003,176393,86068,27209,16199,54.13,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2089,Mobile App Beta,2021-02,A003,143145,63315,24631,17418,51.9,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2090,Mobile App Beta,2021-03,A004,229122,48727,23215,4375,63.78,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2091,Mobile App Beta,2021-04,A004,174832,92704,28369,8758,52.64,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2092,Mobile App Beta,2021-05,A003,146665,112099,33785,1794,31.2,nan,C053
2093,Mobile App Beta,2021-06,A001,337796,82088,13450,12372,47.59,"The site takes too long to load on average phones.
People didn’t wait around.",C053
2094,Mobile App Beta,2021-07,A002,172027,113902,35211,24751,43.18,nan,C053
2095,Mobile App Beta,2021-08,A003,203872,75628,32743,17561,51.34,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2096,Mobile App Beta,2021-09,A001,201371,53709,14951,15505,72.82,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2097,Mobile App Beta,2021-10,A001,162970,74773,31488,13320,84.48,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2098,Mobile App Beta,2021-11,A004,202831,60953,7490,8345,59.36,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2099,Mobile App Beta,2021-12,A004,206340,108633,31870,16437,61.5,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2100,Responsive Web Version,2021-01,A003,245153,80947,27854,10204,59.57,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2101,Responsive Web Version,2021-02,A003,211756,59764,33341,7266,66.54,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2102,Responsive Web Version,2021-03,A003,155194,63761,19967,17455,64.25,"The site takes too long to load on average phones.
People didn’t wait around.",C053
2103,Responsive Web Version,2021-04,A003,246236,49458,14049,17561,59.71,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2104,Responsive Web Version,2021-05,A002,236129,57376,27482,16929,42.51,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C053
2105,Responsive Web Version,2021-06,A003,175774,57481,17039,13546,74.7,"The site takes too long to load on average phones.
People didn’t wait around.",C053
2106,Responsive Web Version,2021-07,A002,235380,63707,38090,17960,97.85,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2107,Responsive Web Version,2021-08,A002,247068,101127,33706,19184,77.28,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2108,Responsive Web Version,2021-09,A004,249567,83381,7795,13032,47.92,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2109,Responsive Web Version,2021-10,A004,314871,57457,21743,19268,59.59,nan,C053
2110,Responsive Web Version,2021-11,A001,128146,81338,12903,21932,47.47,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C053
2111,Responsive Web Version,2021-12,A004,100331,63233,18796,9971,75.82,nan,C053
2112,PDF WhatsApp Push,2021-01,A002,279274,91523,17529,9525,61.92,"The site takes too long to load on average phones.
People didn’t wait around.",C054
2113,PDF WhatsApp Push,2021-02,A004,198432,77584,20268,28732,64.76,"Many said font was too tiny to read.
Zooming didn’t help on small screens.",C054
2114,PDF WhatsApp Push,2021-03,A004,187733,53010,32155,16582,80.46,nan,C054
2115,PDF WhatsApp Push,2021-04,A002,185268,68408,23127,20197,75.9,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C054
